Model,Hidden Dim,Num Layers,LR,Past Size,Window Size,Epochs,Threshold,Alpha,Gamma,ExactMatch,Macro F1,Micro F1,Status,GPU
Baseline-T05,128,2,0.001,100,100,5,0.05,0.25,2.0,67.12453287546714,8.992603610946414,8.958755916159566,Success,0
Baseline-T10,128,2,0.001,100,100,5,0.1,0.25,2.0,82.6381173618826,14.92095650065141,16.358463726884782,Success,1
Baseline-T15,128,2,0.001,100,100,5,0.15,0.25,2.0,90.06160993839013,17.441494968664824,23.371647509578544,Success,0
Baseline-T20,128,2,0.001,100,100,5,0.2,0.25,2.0,92.78860721139273,21.520031400303356,29.96575342465754,Success,1
Baseline-T25,128,2,0.001,100,100,5,0.25,0.25,2.0,94.60660539339455,19.967049094758867,31.35011441647598,Success,0
Baseline-T30,128,2,0.001,100,100,5,0.3,0.25,2.0,95.61660438339575,24.741156723815685,37.07713125845737,Success,1
Alpha-0.10-T15,128,2,0.001,100,100,5,0.15,0.1,2.0,93.26330673669328,18.082735737750934,27.042801556420233,Success,0
Alpha-0.25-T15,128,2,0.001,100,100,5,0.15,0.25,2.0,89.59701040298945,19.239790882044403,24.410876132930515,Success,1
Alpha-0.50-T15,128,2,0.001,100,100,5,0.15,0.5,2.0,83.81981618018388,16.161017370067192,17.30541288028447,Success,0
Alpha-0.75-T15,128,2,0.001,100,100,5,0.15,0.75,2.0,78.17392182607807,13.115096221089898,13.082039911308204,Success,1
Gamma-1.0-T15,128,2,0.001,100,100,5,0.15,0.25,1.0,94.52580547419413,19.021599568829767,30.409356725146196,Success,0
Gamma-1.5-T15,128,2,0.001,100,100,5,0.15,0.25,1.5,92.36440763559206,17.722733030033538,25.170068027210878,Success,1
Gamma-2.0-T15,128,2,0.001,100,100,5,0.15,0.25,2.0,90.06160993839013,17.441494968664824,23.371647509578544,Success,0
Gamma-3.0-T15,128,2,0.001,100,100,5,0.15,0.25,3.0,81.03221896778112,13.96883422719289,13.994352055224349,Success,1
Large-Best-T10-A50,256,2,0.001,100,100,5,0.1,0.5,2.0,81.29481870518137,11.914125476403555,13.025679196129513,Success,0
Large-Best-T15-A50,256,2,0.001,100,100,5,0.15,0.5,2.0,87.85981214018787,14.674051962904327,18.4315970234688,Success,1
Large-Best-T15-A75,256,2,0.001,100,100,5,0.15,0.75,2.0,84.75911524088473,13.629639905602387,15.65703634669152,Success,0
Large-Best-T20-A50,256,2,0.001,100,100,5,0.2,0.5,2.0,91.12210887789091,15.561532366846368,21.701795472287273,Success,1
