Model,Loss,Hidden Dim,Num Layers,LR,Past Size,Window Size,Epochs,Threshold,Alpha,Gamma,Pos Weight,ExactMatch,Macro F1,Micro F1,Status,GPU
Focal-T35,FocalLoss,128,2,0.001,100,100,5,0.35,0.25,2.0,N/A,95.8388041611958,17.003331192464138,29.467084639498424,Success,0
Focal-T40,FocalLoss,128,2,0.001,100,100,5,0.4,0.25,2.0,N/A,96.27310372689588,18.283474314008664,29.24187725631769,Success,1
Focal-T45,FocalLoss,128,2,0.001,100,100,5,0.45,0.25,2.0,N/A,96.3135036864964,11.38443290322034,17.99163179916318,Success,0
Focal-T50,FocalLoss,128,2,0.001,100,100,5,0.5,0.25,2.0,N/A,96.4549035450966,9.954451345755693,14.678899082568808,Success,1
Weighted10-T40,WeightedBCE,128,2,0.001,100,100,5,0.4,N/A,N/A,10.0,96.09130390869606,16.5108759553204,29.76588628762542,Success,0
Weighted10-T50,WeightedBCE,128,2,0.001,100,100,5,0.5,N/A,N/A,10.0,96.2125037874963,15.09262030955609,24.58100558659218,Success,1
Weighted50-T40,WeightedBCE,128,2,0.001,100,100,5,0.4,N/A,N/A,50.0,96.24280375719596,19.325520618681665,33.497536945812804,Success,0
Weighted50-T50,WeightedBCE,128,2,0.001,100,100,5,0.5,N/A,N/A,50.0,96.21250378749623,17.599343761349544,31.217838765008576,Success,1
Weighted100-T40,WeightedBCE,128,2,0.001,100,100,5,0.4,N/A,N/A,100.0,96.14180385819611,17.036315310977336,29.145728643216078,Success,0
Weighted100-T50,WeightedBCE,128,2,0.001,100,100,5,0.5,N/A,N/A,100.0,96.32360367639642,18.320191154415756,32.69565217391304,Success,1
BCE-T35,BCEWithLogits,128,2,0.001,100,100,5,0.35,N/A,N/A,N/A,96.21250378749608,14.685415997916948,25.22851919561243,Success,0
BCE-T40,BCEWithLogits,128,2,0.001,100,100,5,0.4,N/A,N/A,N/A,96.38420361579617,14.069645691897184,25.9047619047619,Success,1
BCE-T45,BCEWithLogits,128,2,0.001,100,100,5,0.45,N/A,N/A,N/A,96.29330370669614,14.089194699286441,24.137931034482758,Success,0
BCE-T50,BCEWithLogits,128,2,0.001,100,100,5,0.5,N/A,N/A,N/A,96.50540349459637,13.487751256281404,24.84725050916497,Success,1
Focal-E10-T40,FocalLoss,128,2,0.001,100,100,10,0.4,0.25,2.0,N/A,95.67720432279559,15.603678584475611,24.342105263157894,Success,0
Focal-E10-T50,FocalLoss,128,2,0.001,100,100,10,0.5,0.25,2.0,N/A,95.97010402989618,12.60216617697639,20.44609665427509,Success,1
