Model,Hidden Dim,Num Layers,Bidirectional,LR,Dropout,Window Size,ExactMatch,Macro F1,Micro F1,Status
LSTM-Small-LR1e3-W100,64,1,True,0.001,0.3,100,96.30000000000015,14.262203073672394,24.710424710424714,Success
LSTM-Small-LR1e3-W200,64,1,True,0.001,0.3,200,96.31000000000006,14.62923477848851,24.466019417475728,Success
LSTM-Small-LR1e3-W500,64,1,True,0.001,0.3,500,96.47999999999998,15.299978512751858,26.930693069306933,Success
LSTM-Small-LR5e4-W100,64,1,True,0.0005,0.3,100,96.49000000000018,15.756805937328203,25.506072874493928,Success
LSTM-Small-LR5e4-W200,64,1,True,0.0005,0.3,200,96.46999999999993,15.308407600766404,26.0,Success
LSTM-Small-LR5e4-W500,64,1,True,0.0005,0.3,500,96.56000000000017,14.02419747686129,24.59016393442623,Success
LSTM-Small-LR1e4-W100,64,1,True,0.0001,0.3,100,96.66000000000022,8.714285714285715,13.592233009708737,Success
LSTM-Small-LR1e4-W200,64,1,True,0.0001,0.3,200,96.6799999999999,8.773602899103567,14.492753623188403,Success
LSTM-Small-LR1e4-W500,64,1,True,0.0001,0.3,500,96.60999999999977,7.5369075369075365,12.165450121654501,Success
LSTM-Medium-LR1e3-W100,128,2,True,0.001,0.3,100,95.68000000000015,15.320004779162849,24.63054187192118,Success
LSTM-Medium-LR1e3-W200,128,2,True,0.001,0.3,200,95.84000000000023,15.510473797340762,25.925925925925924,Success
LSTM-Medium-LR1e3-W500,128,2,True,0.001,0.3,500,95.72000000000007,16.066586226860352,25.163398692810457,Success
LSTM-Medium-LR5e4-W100,128,2,True,0.0005,0.3,100,96.22999999999989,17.247750314850386,29.328621908127207,Success
LSTM-Medium-LR5e4-W200,128,2,True,0.0005,0.3,200,96.1799999999997,17.11760948410315,29.965156794425084,Success
LSTM-Medium-LR5e4-W500,128,2,True,0.0005,0.3,500,96.33999999999989,15.176684276160232,27.4582560296846,Success
LSTM-Medium-LR1e4-W100,128,2,True,0.0001,0.3,100,96.5700000000001,13.12042818911686,23.504273504273502,Success
LSTM-Medium-LR1e4-W200,128,2,True,0.0001,0.3,200,96.64000000000014,13.15251182698806,23.779193205944797,Success
LSTM-Medium-LR1e4-W500,128,2,True,0.0001,0.3,500,96.60999999999989,12.7230466654747,23.126338329764458,Success
LSTM-Medium-LR5e5-W100,128,2,True,5e-05,0.3,100,96.54999999999991,8.515325670498084,13.33333333333333,Success
LSTM-Medium-LR5e5-W200,128,2,True,5e-05,0.3,200,96.5899999999999,9.58418541240627,16.666666666666668,Success
LSTM-Medium-LR5e5-W500,128,2,True,5e-05,0.3,500,96.66,11.17305976806423,18.09744779582367,Success
LSTM-Large-LR1e3-W100,256,2,True,0.001,0.3,100,95.48999999999997,15.851647406628144,24.012638230647713,Success
LSTM-Large-LR1e3-W200,256,2,True,0.001,0.3,200,95.53000000000016,17.63144708463364,26.438569206842928,Success
LSTM-Large-LR1e3-W500,256,2,True,0.001,0.3,500,95.44,14.317508371175633,22.32854864433812,Success
LSTM-Large-LR5e4-W100,256,2,True,0.0005,0.3,100,95.74999999999999,15.79312469239056,25.16778523489933,Success
LSTM-Large-LR5e4-W200,256,2,True,0.0005,0.3,200,95.83999999999983,12.866720610334067,21.761658031088082,Success
LSTM-Large-LR5e4-W500,256,2,True,0.0005,0.3,500,95.88999999999972,16.212621998378715,26.013513513513516,Success
LSTM-Large-LR1e4-W100,256,2,True,0.0001,0.3,100,96.4099999999999,14.48071051209063,26.22309197651663,Success
LSTM-Large-LR1e4-W200,256,2,True,0.0001,0.3,200,95.89999999999978,8.02607076350093,13.173652694610777,Success
LSTM-Large-LR1e4-W500,256,2,True,0.0001,0.3,500,96.30000000000018,8.845588235294118,14.22413793103448,Success
LSTM-Large-LR5e5-W100,256,2,True,5e-05,0.3,100,96.52000000000007,11.315889992360582,19.607843137254903,Success
LSTM-Large-LR5e5-W200,256,2,True,5e-05,0.3,200,96.53999999999976,11.039370078740157,17.817371937639198,Success
LSTM-Large-LR5e5-W500,256,2,True,5e-05,0.3,500,96.11999999999986,5.333333333333334,8.425720620842572,Success
LSTM-XLarge-LR5e4-W100,256,3,True,0.0005,0.3,100,95.55000000000022,14.062734814215746,22.07792207792208,Success
LSTM-XLarge-LR5e4-W200,256,3,True,0.0005,0.3,200,95.79999999999971,10.159569445755832,15.837937384898709,Success
LSTM-XLarge-LR5e4-W500,256,3,True,0.0005,0.3,500,95.79999999999983,14.46935046935047,24.161073825503358,Success
LSTM-XLarge-LR1e4-W100,256,3,True,0.0001,0.3,100,96.32000000000012,13.001504170654998,23.846153846153847,Success
LSTM-XLarge-LR1e4-W200,256,3,True,0.0001,0.3,200,96.32000000000004,11.332515919787998,20.040899795501023,Success
LSTM-XLarge-LR1e4-W500,256,3,True,0.0001,0.3,500,96.37000000000016,6.8033135089209855,12.641083521444694,Success
LSTM-XLarge-LR5e5-W100,256,3,True,5e-05,0.3,100,96.33999999999993,6.191289025934695,9.610983981693364,Success
LSTM-XLarge-LR5e5-W200,256,3,True,5e-05,0.3,200,96.38000000000001,6.2695035460992905,9.456264775413711,Success
LSTM-XLarge-LR5e5-W500,256,3,True,5e-05,0.3,500,96.3699999999999,10.428411882957338,18.683651804670912,Success
LSTM-Medium-Uni-LR1e3-W200,128,2,False,0.001,0.3,200,96.2199999999999,10.433751335743617,17.922606924643585,Success
LSTM-Medium-Uni-LR5e4-W200,128,2,False,0.0005,0.3,200,96.43000000000002,11.106063253538354,20.833333333333332,Success
LSTM-Medium-Uni-LR1e4-W200,128,2,False,0.0001,0.3,200,96.59999999999962,8.864689527340131,16.166281755196305,Success
