Model,Hidden Dim,Num Layers,Bidirectional,LR,Dropout,Window Size,ExactMatch,Macro F1,Micro F1,Status,GPU,Duration
LSTM-Small-LR1e3-W100,64,1,True,0.001,0.3,100,99.71133138851096,99.92130113119647,99.9217279415976,Success,0,1416.54s
LSTM-Small-LR1e3-W200,64,1,True,0.001,0.3,200,99.61052647656248,99.87637147779735,99.88348950832572,Success,1,1482.77s
LSTM-Small-LR1e3-W500,64,1,True,0.001,0.3,500,99.34782276663668,99.78297272451132,99.79385701555444,Success,0,1623.81s
LSTM-Small-LR5e4-W100,64,1,True,0.0005,0.3,100,99.67467505689368,99.91185529157053,99.91218960935831,Success,1,1442.96s
LSTM-Small-LR5e4-W200,64,1,True,0.0005,0.3,200,99.59678035220647,99.87181328553741,99.87966949220525,Success,0,1463.11s
LSTM-Small-LR5e4-W500,64,1,True,0.0005,0.3,500,99.33407664227994,99.77932769497993,99.7904109169905,Success,1,1650.43s
LSTM-Small-LR1e4-W100,64,1,True,0.0001,0.3,100,99.18439662150817,99.7897668886786,99.78177101217047,Success,0,1429.65s
LSTM-Small-LR1e4-W200,64,1,True,0.0001,0.3,200,99.26534602049657,99.7915962061935,99.7930476219568,Success,1,1496.46s
LSTM-Small-LR1e4-W500,64,1,True,0.0001,0.3,500,99.18897866296071,99.74486719880363,99.75411183896047,Success,0,1618.81s
LSTM-Medium-LR1e3-W100,128,2,True,0.001,0.3,100,99.51888564751809,99.87606103914295,99.87211836876482,Success,1,1807.46s
LSTM-Medium-LR1e3-W200,128,2,True,0.001,0.3,200,99.48681135735298,99.84867010321786,99.85296532655065,Success,0,2052.81s
LSTM-Medium-LR1e3-W500,128,2,True,0.001,0.3,500,99.2439631603863,99.75991968510654,99.76789626836849,Success,1,8508.14s
LSTM-Medium-LR5e4-W100,128,2,True,0.0005,0.3,100,99.59067096360405,99.89290346750354,99.89119105705025,Success,0,1558.73s
LSTM-Medium-LR5e4-W200,128,2,True,0.0005,0.3,200,99.6044170879602,99.87534816056537,99.8823412561981,Success,1,5539.72s
