Model,Architecture,LR,Dropout,Window Size,ExactMatch,Macro F1,Micro F1,Status
MLP-Small-LR1e3-W100,"[64, 32]",0.001,0.3,100,96.42999999999998,6.696051904221583,9.501187648456057,Success
MLP-Small-LR1e3-W200,"[64, 32]",0.001,0.3,200,96.42999999999998,6.696051904221583,9.501187648456057,Success
MLP-Small-LR1e3-W500,"[64, 32]",0.001,0.3,500,96.44000000000007,6.717787659539079,9.523809523809526,Success
MLP-Small-LR5e4-W100,"[64, 32]",0.0005,0.3,100,96.48000000000002,12.955186551755334,19.088937093275486,Success
MLP-Small-LR5e4-W200,"[64, 32]",0.0005,0.3,200,96.48000000000002,12.955186551755334,19.088937093275486,Success
MLP-Small-LR5e4-W500,"[64, 32]",0.0005,0.3,500,96.49,12.981262171051295,19.130434782608695,Success
MLP-Small-LR1e4-W100,"[64, 32]",0.0001,0.3,100,96.55999999999997,2.8525641025641026,4.1558441558441555,Success
MLP-Small-LR1e4-W200,"[64, 32]",0.0001,0.3,200,96.55999999999997,2.8525641025641026,4.1558441558441555,Success
MLP-Small-LR1e4-W500,"[64, 32]",0.0001,0.3,500,96.55999999999997,2.8525641025641026,4.1558441558441555,Success
MLP-Medium-LR1e3-W100,"[128, 64, 32]",0.001,0.3,100,96.4499999999999,5.297172350463886,7.3170731707317085,Success
MLP-Medium-LR1e3-W200,"[128, 64, 32]",0.001,0.3,200,96.4499999999999,5.297172350463886,7.3170731707317085,Success
MLP-Medium-LR1e3-W500,"[128, 64, 32]",0.001,0.3,500,96.4499999999999,5.297172350463886,7.3170731707317085,Success
MLP-Medium-LR5e4-W100,"[128, 64, 32]",0.0005,0.3,100,96.42000000000019,8.5011717673008,11.981566820276498,Success
MLP-Medium-LR5e4-W200,"[128, 64, 32]",0.0005,0.3,200,96.42000000000019,8.5011717673008,11.981566820276498,Success
MLP-Medium-LR5e4-W500,"[128, 64, 32]",0.0005,0.3,500,96.42000000000019,8.5011717673008,11.981566820276498,Success
MLP-Medium-LR1e4-W100,"[128, 64, 32]",0.0001,0.3,100,96.57000000000043,6.589473684210527,11.566265060240962,Success
MLP-Medium-LR1e4-W200,"[128, 64, 32]",0.0001,0.3,200,96.57000000000043,6.589473684210527,11.566265060240962,Success
MLP-Medium-LR1e4-W500,"[128, 64, 32]",0.0001,0.3,500,96.57000000000043,6.589473684210527,11.566265060240962,Success
MLP-Medium-LR5e5-W100,"[128, 64, 32]",5e-05,0.3,100,96.51999999999967,0.0,0.0,Success
MLP-Medium-LR5e5-W200,"[128, 64, 32]",5e-05,0.3,200,96.51999999999967,0.0,0.0,Success
MLP-Medium-LR5e5-W500,"[128, 64, 32]",5e-05,0.3,500,96.51999999999967,0.0,0.0,Success
MLP-Large-LR1e3-W100,"[256, 128, 64]",0.001,0.3,100,96.21999999999994,8.903225806451614,12.691466083150985,Success
MLP-Large-LR1e3-W200,"[256, 128, 64]",0.001,0.3,200,96.22999999999982,8.926829268292682,12.719298245614036,Success
MLP-Large-LR1e3-W500,"[256, 128, 64]",0.001,0.3,500,96.27000000000001,9.021289560879003,12.831858407079647,Success
MLP-Large-LR5e4-W100,"[256, 128, 64]",0.0005,0.3,100,96.21999999999997,13.304832152463607,19.51219512195122,Success
MLP-Large-LR5e4-W200,"[256, 128, 64]",0.0005,0.3,200,96.22999999999999,13.335333241788227,19.551934826883908,Success
MLP-Large-LR5e4-W500,"[256, 128, 64]",0.0005,0.3,500,96.26999999999981,13.448322156417793,19.71252566735113,Success
MLP-Large-LR1e4-W100,"[256, 128, 64]",0.0001,0.3,100,96.79999999999997,20.50607120564369,30.390143737166326,Success
MLP-Large-LR1e4-W200,"[256, 128, 64]",0.0001,0.3,200,96.79999999999997,20.50607120564369,30.390143737166326,Success
MLP-Large-LR1e4-W500,"[256, 128, 64]",0.0001,0.3,500,96.79999999999997,20.50607120564369,30.390143737166326,Success
MLP-Large-LR5e5-W100,"[256, 128, 64]",5e-05,0.3,100,96.59999999999991,9.555489555489554,13.365155131264913,Success
MLP-Large-LR5e5-W200,"[256, 128, 64]",5e-05,0.3,200,96.59999999999991,9.555489555489554,13.365155131264913,Success
MLP-Large-LR5e5-W500,"[256, 128, 64]",5e-05,0.3,500,96.59999999999991,9.555489555489554,13.365155131264913,Success
MLP-XLarge-LR5e4-W100,"[512, 256, 128]",0.0005,0.3,100,96.11999999999982,10.701854329406011,15.541922290388547,Success
MLP-XLarge-LR5e4-W200,"[512, 256, 128]",0.0005,0.3,200,96.1299999999997,10.519950637597695,15.22633744855967,Success
MLP-XLarge-LR5e4-W500,"[512, 256, 128]",0.0005,0.3,500,96.17999999999954,10.674992158689847,15.384615384615385,Success
MLP-XLarge-LR1e4-W100,"[512, 256, 128]",0.0001,0.3,100,96.62000000000019,24.744889519083067,37.30017761989343,Success
MLP-XLarge-LR1e4-W200,"[512, 256, 128]",0.0001,0.3,200,96.62000000000019,24.744889519083067,37.30017761989343,Success
MLP-XLarge-LR1e4-W500,"[512, 256, 128]",0.0001,0.3,500,96.63999999999994,24.841003745113333,37.4331550802139,Success
MLP-XLarge-LR5e5-W100,"[512, 256, 128]",5e-05,0.3,100,96.66999999999982,23.862102709017748,37.251356238698015,Success
MLP-XLarge-LR5e5-W200,"[512, 256, 128]",5e-05,0.3,200,96.66999999999982,23.862102709017748,37.251356238698015,Success
MLP-XLarge-LR5e5-W500,"[512, 256, 128]",5e-05,0.3,500,96.66999999999982,23.862102709017748,37.251356238698015,Success
